location,lat,long
MOSTA,35.909,14.426
SLIEMA,35.913,14.502
WARDIJA,35.9380600,14.4111100
VALLETTA,35.8989085,14.5145528
COTTONERA,35.9564,14.3664
MDINA,35.8858,14.4031
MAGĦTAB,35.945,14.44
TA' XBIEX,35.8992,14.4981
IKLIN,35.9042,14.4544
ST. PAUL'S BAY,35.936,14.3967,
VITTORIOSA,35.8922200,14.5183300
MADLIENA,35.9232,14.4739
GĦAJN TUFFIEĦA,35.9322,14.3472
KAPPARA,35.9078,14.4854
TA' XBIEX,35.8992,14.4981
MELLIEĦA,35.9564,14.3664
SALINI,35.945556,14.424444
RABAT,35.8744,14.3939
PACEVILLE,35.9231,14.4913
LIJA,35.9014,14.4472
MĠARR,35.9197,14.3664
